年月日,宮崎,,,,熊本,,,,佐賀,大分,,長崎,,福岡,,鹿児島,,
,小林,都城,宮崎,延岡,南小国,菊池,南阿蘇,人吉,佐賀,日田,大分,島原,長崎,福岡,久留米,鹿児島,種子島,鹿屋
,平均,平均,平均,平均,平均,平均,平均,平均,平均,平均,平均,平均,平均,平均,平均,平均,平均,平均
2021/3/20,2.2,2.78,3.19,1.96,-1.78,0.52,-1.18,2.07,1.65,0.89,1.71,2.29,2.5,2.11,1.77,5.04,5.54,2.62
2021/3/21,3.42,3.86,5.16,3.51,-0.54,2.16,0.12,2.75,2.76,2.14,2.83,3.08,2.81,3,2.51,5.05,6.32,3.57
2021/3/22,1.55,2.01,3.26,2.06,-2.07,0.33,-1.3,1.02,2.02,0.72,1.45,1.22,2.08,2.33,1.9,3.9,4.38,1.43
2021/3/23,1.05,2.01,2.59,1.5,-2.8,-0.98,-2.62,0.46,1.4,0.16,0.7,0.94,1.2,2.16,1.26,3.87,5.06,1.96
2021/3/24,0.71,1.25,1.26,0.62,-3.42,-1.05,-2.95,0.67,0.66,-0.57,0.16,0.68,1.17,1.67,0.69,3.56,4.6,1.41
2021/3/25,-0.23,0.72,1.27,0.7,-3.5,-0.52,-2.81,-0.2,1.03,-0.61,-0.25,0.55,1.86,1.99,0.92,2.91,4.19,0.88
2021/3/26,1.9,3.08,3.25,2.23,-1.07,1.65,-0.53,1.64,2.56,1.76,1.93,2.46,3.13,3.28,2.76,4.84,5.65,2.71
2021/3/27,2.95,3.61,4.87,4.04,-0.71,2.14,0.08,2.67,3.23,2.57,3.86,3.05,3.48,4.06,3.17,5.5,5.8,3.48
2021/3/28,3.03,3.55,4.39,3.52,-0.3,1.83,-0.26,2.23,3.33,2.6,3.37,2.73,3.23,3.5,3.57,4.75,5.47,3.39
2021/3/29,3.42,3.89,4.43,3.78,-0.17,2.4,0.51,2.53,3.93,2.79,2.84,3.39,4.37,4.61,3.93,5.36,6.13,3.55
2021/3/30,4.59,5.26,6.28,5.39,2.02,4.79,2.65,4.46,5.63,4.71,4.45,5.24,5.8,5.63,5.5,6.69,7.21,4.88
2021/3/31,2.2,2.93,3.77,2.88,-0.37,2.32,-0.04,2.67,3.74,2.55,1.88,2.96,3.62,3.84,3.49,5.19,6.65,3.76
2021/4/1,3.43,4.61,5.1,4.38,-0.53,1.95,0.77,3.07,3.32,2.11,3.05,3.46,3.65,3.49,3.09,5.92,6.07,4.54
2021/4/2,3.65,4.08,4.88,4.2,0.31,2.82,0.56,3.53,4,3.41,3.86,3.68,4.31,4.64,4.31,5.83,6.19,4.23
2021/4/3,4.32,4.87,5.15,4.08,0.94,3.37,1.28,4.15,4.9,4.25,3.26,3.86,4.92,5.86,4.91,6.75,6.33,4.52
2021/4/4,5.62,5.43,6.6,5.33,1.68,4,1.78,4.84,5.02,4.25,4.67,4.4,4.94,5.54,5.19,7.12,7.31,4.94
2021/4/5,4.7,5.81,5.75,5.18,1.85,4.38,2.22,4.26,5.28,4.48,4.52,5.05,5.57,5.63,5.59,7.13,7.49,5.54
2021/4/6,4.33,5.43,5.59,4.73,2.06,3.8,2.36,4.35,4.89,4.35,4.68,4.79,5.39,5.45,5.1,6.68,8.25,5.39
2021/4/7,5.24,6.02,6.1,5.4,2.09,4.25,2.64,4.55,5.27,4.4,5.26,4.95,5.57,5.43,5.18,7.57,7.57,6
2021/4/8,5.82,6.37,7,5.79,2.49,4.59,3.17,5.14,5.84,5.14,5.43,5.14,5.75,6,5.85,7.44,7.63,5.46
2021/4/9,5.37,6.24,7.25,6.09,3.05,5.7,3.44,5.45,6.69,5.77,5.08,6.16,6.71,6.43,6.55,7.5,8.23,5.81
2021/4/10,5.12,5.66,6.39,5.81,2.21,5.19,2.85,5.43,5.74,4.64,4.38,6.23,6.19,5.65,5.69,7.51,7.97,5.56
2021/4/11,5.36,5.88,6.24,5.64,0.97,4.12,2.11,5.59,4.78,4.08,4.81,5.28,5.07,4.59,4.72,7.61,8.17,5.59
2021/4/12,5.21,6.2,6.06,4.73,0.43,4.18,1.49,5.04,4.7,3.89,4.38,5.16,5.53,4.41,4.7,8.24,8.13,6.16
2021/4/13,3.24,4.39,5.04,4.04,0.22,3.67,0.78,3.49,4.75,3.65,3.9,5.31,5.46,4.97,4.56,7.08,7.6,4.86
2021/4/14,6.25,6.49,7.06,6.16,3.07,5.32,3.94,5.83,6.56,5.69,6.38,6.71,6.82,7.23,6.48,8.57,8.05,6.27
2021/4/15,6.27,6.83,7.27,6.86,2.34,5.38,3.12,6.33,6.44,5.54,6.03,6.49,7.07,6.39,6.56,8.14,7.85,5.94
2021/4/16,6.17,6.74,6.94,5.98,4.08,6.57,4.41,6.47,7.68,6.82,5.5,7.12,7.6,7.37,7.65,8.12,7.9,6.42
2021/4/17,4.99,5.93,7.29,6.95,3.33,6.19,3.84,5.76,6.67,6.48,7.18,6.41,6.91,7.19,6.8,8.08,8.54,6.44
2021/4/18,5.65,6.21,7.22,6.5,2.89,5.34,3.54,5.77,6.64,6.32,6.32,5.87,5.71,6.76,6.56,7.59,7.24,5.66
2021/4/19,6.34,6.77,6.89,6.13,2.35,4.54,2.78,5.37,6.54,5.37,6.09,5.96,5.94,6.52,6.36,8.1,7.35,5.7
2021/4/20,5.99,7.02,7.18,6.48,4.84,5.9,4.72,6.11,7.52,6.95,6.18,6.3,6.43,7.09,7.85,7.79,8.26,6.01
2021/4/21,8.03,8.38,8.76,7.6,5.52,7.33,5.65,7.87,8.25,8.1,7.72,7.4,7.76,7.91,8.23,9.67,9.5,7.5
2021/4/22,7.13,7.82,8.04,7.87,5.18,7.75,5.59,7.69,8.79,8.39,8.04,8.25,8.12,7.99,8.85,9.55,8.81,7.61
2021/4/23,5.31,6.34,6.81,6.04,3.15,5.73,3.14,5.36,7.1,6.38,6.28,6.67,6.8,7.45,7.21,8,8.34,6.45
2021/4/24,5.48,6.87,7.78,6.91,3.49,5.68,3.96,5.38,7.18,6.34,6.68,6.9,7.14,7.63,7.08,8.15,9.18,6.99
2021/4/25,6.99,7.44,7.82,7.33,3.55,6.38,4.22,7.02,6.96,6.07,6.57,7.33,7.19,7.09,7.24,8.93,8.97,7.31
2021/4/26,6.51,7.43,8.1,6.78,4.84,6.86,5.34,7.12,7.94,7.2,7.2,8.12,7.13,7.14,7.98,8.92,8.85,7.67
2021/4/27,6.82,7.73,8.18,6.4,3.33,6.17,4.07,6.78,6.89,6.45,6.57,6.51,6.49,6.77,7.17,8.99,8.89,7.14
2021/4/28,5.77,6.44,7.03,6.18,2.17,4.65,2.56,5.67,5.88,5.32,5.53,5.79,5.95,5.88,5.93,8.39,8.06,6.01
2021/4/29,6.42,6.84,7.66,6.79,3.59,6.24,3.9,6.16,7.35,6.36,6.75,7.18,7.28,7.59,7.54,8.5,8.44,6.75
2021/4/30,7.92,8.02,8.94,7.94,5.15,7.54,5.2,7.42,8.65,7.9,7.49,8.06,8.49,9.64,8.71,9.07,8.97,7.19
2021/5/1,8.68,8.74,9.73,8.31,5.78,8.39,6.26,7.33,9.56,8.52,8.74,8.68,9.08,10.37,9.63,9.38,9.21,7.3
2021/5/2,9.03,9.17,9.55,8.94,7.61,9.59,7.58,9,10.29,10.06,9.2,9.73,9.6,10.46,10.79,10.64,10.3,8.67
2021/5/3,7.7,8.49,9.22,8.62,6.25,8.27,6.81,8.23,8.99,8.81,9.35,9.28,9.23,9.16,8.87,9.6,10.11,9.03
2021/5/4,8.34,8.82,9.57,8.81,6.09,8.47,6.55,8.28,10.28,9.56,9.1,9.48,9.28,10.67,10.28,10.34,9.91,8.44
2021/5/5,9.27,10.24,10.44,9.28,8.09,10.29,8.6,9.79,10.86,10.7,10.52,10.24,10.09,11.33,11.32,10.38,10.43,9.24
2021/5/6,8.54,9.46,10.06,8.71,7,9.13,7.58,8.57,9.78,8.87,9.41,9.33,9.65,9.33,9.51,10.9,10.66,9.31
2021/5/7,10.09,10.79,10.65,9.48,6.54,9.82,7.55,10.02,10.43,9.63,9.08,10.19,9.99,8.95,10.27,12.61,11.69,10.06
2021/5/8,7.99,8.09,8.99,8.1,4.85,7.76,5.85,7.99,8.77,8.03,8,8.35,8.99,9.27,8.8,9.92,10.22,8.4
2021/5/9,7.25,8.58,8.88,8.23,5.51,7.99,6.13,7.67,8.22,7.7,8.01,8.89,8.92,8.57,8.49,10.13,10.41,9.01
2021/5/10,8.18,9.16,10.48,9.62,6.29,8.07,7.17,8.78,8.97,8.59,8.32,8.76,8.69,8.8,8.7,10.5,11.15,9.35
2021/5/11,10.05,10.6,10.86,9.59,6.68,8.84,7,9.73,9.69,9.03,9.61,9.67,9.22,9.66,9.85,11.68,10.83,9.64
2021/5/12,9.2,10.07,9.78,9.21,6.73,8.91,6.88,8.65,10.38,9.22,9.23,9.24,9.82,10.43,10.58,11.27,11.19,9.27
2021/5/13,10.68,11.37,10.41,9.92,8.01,10.87,8.44,10.67,11.42,10.54,10.2,10.98,10.81,10.36,11.36,12.63,11.82,11.01
2021/5/14,9.92,10.98,10.63,9.64,8.06,10.5,8.36,10.18,11.8,11.14,10.14,10.58,10.53,11.36,12.19,12.12,11.48,10.08
2021/5/15,10.36,11.09,11.05,10.02,8.04,10.87,8.72,9.96,11.95,11.12,10.71,11.63,11.83,12.53,12.09,12.8,12.16,11.07
2021/5/16,9.67,10.55,11.1,10.08,7.66,9.72,8.06,9.36,10.85,9.73,9.84,10.61,10.71,11.81,10.79,11.65,12.24,10.69
2021/5/17,11.19,11.69,11.76,10.5,8.57,11.13,9.03,10.89,12.34,11.72,10.58,11.57,11.69,12.36,12.52,12.74,11.51,11.55
2021/5/18,10.44,11.39,11.71,10.59,8.35,10.95,9.23,10.83,11.35,10.58,10.35,10.83,10.62,10.98,11.11,12.74,12.06,11.1
2021/5/19,10.13,11.2,11.3,10.42,7.67,11.15,8.69,10.86,11.56,10.74,10.52,10.71,10.65,11.26,11.42,13.13,12.25,11.46
2021/5/20,10.37,11.67,11.45,10.65,8.02,10.92,8.99,10.91,11.79,10.76,10.92,10.82,10.86,11.29,11.69,12.44,11.27,10.82
2021/5/21,8.96,10.08,9.75,9.41,7.13,9.67,7.26,9.07,11.56,10.29,10.16,10.34,10.2,11.19,11.4,11.6,10.6,10.02
2021/5/22,9.46,9.92,10.03,8.96,7.25,9.81,7.51,9.86,12.08,10.78,10.25,11.03,11.12,11.51,12.42,12.69,12.02,10.65
2021/5/23,10.82,11.28,11.92,10.65,8.92,11.31,9.23,10.83,12.81,11.96,11.25,12.12,11.68,12.49,12.82,13.47,13.22,11.56
2021/5/24,11.78,12.07,12.39,11.3,9.08,11.41,9.69,11.91,12.89,11.77,11.78,12.58,11.95,13.01,12.87,13.48,13.31,11.9
2021/5/25,12.45,12.79,12.91,12.41,11.02,12.93,11.12,12.81,13.92,13.18,12.57,12.83,12.4,13.82,13.94,13.73,12.81,12.45
2021/5/26,11.31,11.82,12.92,11.94,9.59,11.69,10.09,11.32,13.05,12.26,11.57,11.99,11.68,12.74,13.19,12.75,12.26,10.89
2021/5/27,11.65,12.32,12,11.2,9.2,11.48,9.63,11.6,12.72,11.79,11.74,11.75,11.32,12.18,12.67,13.44,12.54,11.64
2021/5/28,10.64,11.06,11.78,11.17,8.3,11.23,9,10.79,11.79,10.82,11.29,11.18,10.87,11.19,11.71,12.02,11.97,10.58
2021/5/29,11.8,11.94,11.92,11.15,9.33,11.56,9.7,11.6,12.65,11.75,11.27,12.06,11.69,12.37,12.86,12.8,12.37,11.03
2021/5/30,12.62,12.8,12.67,12.07,9.89,12.53,10.53,12.22,13.65,12.55,12.05,12.66,12.63,13.91,13.61,13.14,12.11,12.03
2021/5/31,10.57,11.19,11.76,10.75,8.73,11.46,8.69,10.72,12.52,11.68,11.25,11.51,11.58,12.81,12.62,12.42,11.95,11.13
2021/6/1,11.05,11.43,11.77,11.09,9.98,12.38,9.76,12.25,13.25,12.78,12.27,12.46,12.49,13,13.28,12.69,11.98,11.01
2021/6/2,11.72,11.95,11.89,11.03,8.93,11.99,9.91,12.2,12.8,12.05,11.63,12.4,12.22,12.67,13.15,13.22,12.89,11.51
2021/6/3,10.44,11.45,11.18,10.66,9.3,11.73,9.51,10.8,13.34,12.24,11.17,12.11,12.25,13.29,13.5,13.15,13,11.25
2021/6/4,10.47,11.72,11.67,11.1,10.11,12.71,10.61,11.56,13.97,12.85,11.83,12.98,12.71,13.84,14.08,13.14,12.96,11.95
2021/6/5,11.47,12.68,12.3,11.86,10.19,12.59,10.67,12.18,13.2,12.15,11.7,13.01,12.87,13.24,12.98,13.93,13.67,12.82
2021/6/6,11.35,12.19,12.36,11.64,10.54,13.3,10.65,12.09,13.62,13.04,12.19,12.98,12.85,12.94,13.62,13.81,13.45,12.53
2021/6/7,12.43,12.68,12.87,12.4,11.23,13.13,11.54,12.64,14.01,13.77,12.59,13.15,13.04,13.24,13.94,13.88,14.07,12.87
2021/6/8,12.88,13.94,14.2,13.14,11.37,13.54,11.35,13.34,14.06,13.46,13.03,12.88,12.94,13.64,14.23,14.5,13.65,13.17
2021/6/9,13.01,14.08,13.69,13.07,11.4,13.73,11.86,13.85,14.46,13.96,13.41,13.76,13.63,14.02,14.8,15.01,14.05,13.48
2021/6/10,13.49,14.2,13.8,13,11.67,13.72,12.1,13.96,14.5,13.85,12.66,14.29,13.94,14.69,14.51,15.28,13.72,13.76
2021/6/11,12.36,12.93,13.25,12.79,10.95,13.09,11.29,13.33,13.69,13.12,13.37,13.37,13.48,13.58,13.48,14.42,13.56,13.48
2021/6/12,12.6,13.4,13.87,13.42,9.86,12.71,10.43,12.85,13.45,12.37,13.07,13.3,13.19,13.19,13.54,14.16,13.55,13.02
2021/6/13,12.7,13.53,13.1,12.94,10.11,13.16,11.06,13.45,13.94,13.17,13.06,13.93,13.7,13.39,13.95,14.67,14.22,13.06
2021/6/14,12.55,12.92,13.12,12.76,10.6,13,11.07,12.75,14.11,13.36,13.05,13.4,13.01,13.95,14.01,14.41,13.7,12.89
2021/6/15,12.61,13.25,13.79,12.92,10.52,13.01,11.16,12.62,13.98,13.21,13.43,13.21,13.04,13.84,14.04,14.23,13.63,12.85
2021/6/16,12.91,13.73,14.29,13.45,11.1,13,11.09,13.01,14.1,13.26,13.27,13.49,13.48,13.83,14.22,14.86,13.97,13.24
2021/6/17,12.26,12.61,12.98,12.91,10.73,13.38,11.32,12.6,14.44,13.52,13.13,13.63,13.47,14.12,14.68,13.74,12.97,12.7
2021/6/18,12.66,12.9,13.56,12.61,10.58,13.22,10.89,12.96,13.67,13.07,12.91,13.44,13.16,13.8,13.92,14.52,14.7,13.16
2021/6/19,12,12.62,13.45,12.83,11.12,13.37,11.59,12.24,14.45,13.22,13.64,13.89,13.68,14.24,14.36,14.29,14.66,12.82
2021/6/20,12.35,13.03,13.24,12.84,11.5,13.52,11.71,12.98,14.57,13.86,13.56,14.01,13.44,14.26,14.63,14.84,14.99,13.39
2021/6/21,12.98,13.71,14.43,14.23,11.54,14.23,11.72,13.51,15.13,14.42,13.93,14.32,14.08,14.87,15.09,14.79,13.84,12.94
2021/6/22,12.96,13.83,13.83,13.49,12.06,13.93,12.28,13.54,14.73,14.02,13.84,14.35,14.38,14.59,14.72,15.17,14.56,13.93
2021/6/23,12.65,13.36,13.69,13.3,11.73,13.99,11.97,13.21,14.41,13.63,13.63,14.34,14.07,14.46,14.33,14.77,14.52,13.56
2021/6/24,14.1,14.55,14.65,13.82,12.13,14.18,12.7,14.26,14.43,14.27,14.1,14.58,14.36,14.94,14.58,15.31,15.1,14.26
2021/6/25,13.64,13.93,14.57,13.79,11.85,13.68,12.04,13.67,14.46,13.78,14.34,13.95,13.84,14.73,14.2,14.97,15.28,14
2021/6/26,13.9,14.47,15.25,14.5,12.15,14.8,12.7,14.45,15.66,14.74,14.45,14.99,14.88,15.55,15.45,15.49,15.17,14.44
2021/6/27,13.04,14.07,14.95,14.37,12.57,14.76,12.91,13.6,15.35,15.03,14.84,14.71,14.46,15.5,15.48,15.15,15.71,14.32
2021/6/28,14.66,15.64,15.48,14.31,13.13,15.26,13.91,14.62,15.48,14.7,14.7,15.12,15.19,15.03,15.41,16.45,16.36,15.94
2021/6/29,14.65,15.46,15.68,15.13,13.13,15.12,13.77,14.92,15.03,14.86,14.91,15.06,15.04,15.34,15.38,16.32,16.59,15.43
2021/6/30,14.9,15.49,15.89,14.71,13.13,15,13.4,14.87,15.4,15.26,15.49,15.13,15.47,15.83,15.41,16.62,16.66,15.58
2021/7/1,14.72,15.52,15.87,15.12,13.14,14.95,13.28,14.63,15.5,15.07,15.44,15.31,15.23,16.01,15.67,16.54,16.88,15.73
2021/7/2,14.39,15.16,15.36,15.12,13.7,15.48,13.8,15.27,16.09,15.68,15.66,16.01,15.88,16.75,16.25,16.52,16.79,15.14
2021/7/3,13.99,14.79,15.06,14.14,13.31,14.96,13.65,14.25,15.53,14.98,15.02,15,15.39,16.26,15.57,16.32,16.97,15.6
2021/7/4,15.93,16.57,16.71,16.02,14.74,16.02,14.54,16.26,16.7,16.23,16.16,16.21,16.14,16.53,16.61,17.38,17.21,16.74
2021/7/5,15.46,15.89,16.32,15.93,13.46,16.15,14.51,15.45,16.41,15.33,15.46,15.89,15.93,16.29,16.36,16.93,16.38,16.01
2021/7/6,15.11,15.9,16.19,15.45,13.42,15.15,14.07,15.12,15.27,14.91,15.28,15.41,15.6,15.48,15.38,17.18,16.78,16.04
2021/7/7,15.36,15.7,16.08,15.04,13.39,15.55,13.88,15.34,15.7,15.24,14.63,15.74,16.03,15.11,15.62,17.26,16.91,16.03
2021/7/8,14.59,15.01,15.85,15.21,13.91,15.92,13.98,15.48,15.9,15.61,15.18,15.66,15.79,15.69,15.94,16.49,16.05,15.03
2021/7/9,15.39,15.71,16.35,15.55,14.04,16.12,14.34,15.27,16.17,16.11,15.5,15.88,16.04,16.51,16.15,16.71,16.43,15.94
2021/7/10,15.5,16.24,16.62,15.52,14.58,16.31,15.09,15.46,16.69,16.06,15.7,15.9,16.46,16.83,16.82,17.24,16.98,16.39
2021/7/11,16.43,16.79,17.45,16.52,14.53,16.16,15.29,16.19,17.1,16.77,16.61,16.11,16.62,17.45,17.28,17.89,17.82,17.19
2021/7/12,16.19,16.58,16.95,15.85,14.32,16.32,14.92,16.47,16.57,15.75,16.01,16.05,16.58,16.66,16.55,17.89,17.78,17.18
2021/7/13,15.22,15.88,16.07,15.06,13.62,15.66,14.23,15.59,15.95,15.31,15.4,15.71,15.93,16.29,15.93,17.52,17.74,16.32
2021/7/14,15.63,16.23,17.07,15.45,13.67,15.74,14.22,15.56,16.24,15.32,15.52,15.72,16.03,16.04,16.2,17.24,17.21,16.19
2021/7/15,15.05,15.64,16.03,15.62,13.82,15.65,14.29,15.16,16.2,15.64,16.22,15.92,15.99,16.33,16.39,16.71,16.21,15.64
2021/7/16,14.56,15.3,15.71,15.42,14.3,16.22,14.57,14.95,16.73,15.71,16.28,16.12,16.48,16.65,16.85,16.36,16.44,14.9
2021/7/17,15.96,16.46,16.85,16.12,14.39,16.57,14.84,16.12,17.15,16.34,16.73,16.84,17.03,17.23,17.18,17.3,17.26,16.41
2021/7/18,15.93,16.48,16.82,16,14.86,16.62,15.26,16,17.06,16.46,16.99,16.74,16.92,16.82,17.06,17.4,17.43,16.14
2021/7/19,15.97,16.58,16.93,16.37,15.13,16.82,15.08,16.47,17.4,16.62,16.88,17.05,17.34,17.46,17.39,17.72,17.44,16.47
2021/7/20,16.38,16.98,17.39,16.67,15.96,17.38,16.27,16.68,17.79,17.18,17.36,17.42,17.56,17.96,17.61,17.91,17.63,17.07
2021/7/21,16.19,16.69,17.41,17.14,15.74,17.44,15.95,16.7,17.54,17.13,17.51,17.15,17.73,17.97,17.44,17.56,17.47,16.43
2021/7/22,16.75,17.2,17.58,16.93,15.49,17.18,15.98,16.81,17.81,16.89,17.62,17.53,18.06,17.97,17.68,18.19,18.06,17.1
2021/7/23,16.77,16.99,17.44,17.13,15.5,17.13,15.56,16.68,17.54,16.89,17.31,17.4,17.88,17.79,17.62,18.24,17.76,17.17
